NAME;ID;INT;ACT;SOC;SKL;REL;POL;ADD;HEA;OWN;ETH;GEN;AGE;STA;FAM;TRA
Amphitheater;56aa371be4b08b9a8d5734db;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Aquarium;4fceea171983d5d06c3e9823;YES;Entertainment,Tourism;Family,Friends;;;;;;;;;;;;
Arcade;4bf58dd8d48988d1e1931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Art Gallery;4bf58dd8d48988d1e2931735;YES;Entertainment,Tourism;;;;;;;;;;;;;
Bowling Alley;4bf58dd8d48988d1e4931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Casino;4bf58dd8d48988d17c941735;YES;Entertainment,Tourism;Family,Friends,Colleagues;;;;;;;;;;;;
Circus;52e81612bcbc57f1066b79e7;YES;Entertainment;;;;;;;;;;;;;
Comedy Club;4bf58dd8d48988d18e941735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Concert Hall;5032792091d4c4b30a586d5c;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Country Dance Club;52e81612bcbc57f1066b79ef;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Disc Golf;52e81612bcbc57f1066b79e8;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Exhibit;56aa371be4b08b9a8d573532;YES;Entertainment;;;;;;;;;;;;;
General Entertainment;4bf58dd8d48988d1f1931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Go Kart Track;52e81612bcbc57f1066b79ea;YES;Entertainment;Family,Friends;Drive;;;;;;;;;;;
Historic Site;4deefb944765f83613cdba6e;YES;Entertainment,Tourism;;;;;;;;;;;;;
Karaoke Box;5744ccdfe4b0c0459246b4bb;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Laser Tag;52e81612bcbc57f1066b79e6;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Memorial Site;5642206c498e4bfca532186c;YES;Entertainment,Tourism;;;;;;;;;;;;;
Mini Golf;52e81612bcbc57f1066b79eb;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Movie Theater;4bf58dd8d48988d17f941735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Drive-in Theater;56aa371be4b08b9a8d5734de;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Indie Movie Theater;4bf58dd8d48988d17e941735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Multiplex;4bf58dd8d48988d180941735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Museum;4bf58dd8d48988d181941735;YES;Entertainment,Tourism;;;;;;;;;;;;;
Art Museum;4bf58dd8d48988d18f941735;YES;Entertainment,Tourism;;;;;;;;;;;;;
Erotic Museum;559acbe0498e472f1a53fa23;YES;Entertainment,Tourism;;;;;;;;;;;;;
History Museum;4bf58dd8d48988d190941735;YES;Entertainment,Tourism;;;;;;;;;;;;;
Planetarium;4bf58dd8d48988d192941735;YES;Entertainment,Tourism;;;;;;;;;;;;;
Science Museum;4bf58dd8d48988d191941735;YES;Entertainment,Tourism;;;;;;;;;;;;;
Music Venue;4bf58dd8d48988d1e5931735;YES;Entertainment,Tourism;;;;;;;;;;;;;
Jazz Club;4bf58dd8d48988d1e7931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Piano Bar;4bf58dd8d48988d1e8931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Rock Club;4bf58dd8d48988d1e9931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Pachinko Parlor;5744ccdfe4b0c0459246b4b8;YES;Entertainment;;;;;;;;;;;;;
Performing Arts Venue;4bf58dd8d48988d1f2931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Dance Studio;4bf58dd8d48988d134941735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Indie Theater;4bf58dd8d48988d135941735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Opera House;4bf58dd8d48988d136941735;YES;Entertainment,Tourism;Family,Friends;;;;;;;;;;;;
Theater;4bf58dd8d48988d137941735;YES;Entertainment,Tourism;Family,Friends;;;;;;;;;;;;
Pool Hall;4bf58dd8d48988d1e3931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Public Art;507c8c4091d498d9fc8c67a9;YES;Entertainment,Tourism;;;;;;;;;;;;;
Outdoor Sculpture;52e81612bcbc57f1066b79ed;YES;Entertainment,Tourism;;;;;;;;;;;;;
Street Art;52e81612bcbc57f1066b79ee;YES;Entertainment,Tourism;;;;;;;;;;;;;
Racecourse;56aa371be4b08b9a8d573514;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
Racetrack;4bf58dd8d48988d1f4931735;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
Roller Rink;52e81612bcbc57f1066b79e9;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
Salsa Club;52e81612bcbc57f1066b79ec;YES;Entertainment,Sports;Family,Friends;Dance;;;;;;;;;;;
Samba School;56aa371be4b08b9a8d5734f9;YES;Entertainment,Sports;Family,Friends;Dance;;;;;;;;;;;
Stadium;4bf58dd8d48988d184941735;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
Baseball Stadium;4bf58dd8d48988d18c941735;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
Basketball Stadium;4bf58dd8d48988d18b941735;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
Cricket Ground;4bf58dd8d48988d18a941735;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
Football Stadium;4bf58dd8d48988d189941735;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
Hockey Arena;4bf58dd8d48988d185941735;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
Rugby Stadium;56aa371be4b08b9a8d573556;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
Soccer Stadium;4bf58dd8d48988d188941735;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
Tennis Stadium;4e39a891bd410d7aed40cbc2;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
Track Stadium;4bf58dd8d48988d187941735;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
Theme Park;4bf58dd8d48988d182941735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Theme Park Ride / Attraction;5109983191d435c0d71c2bb1;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Tour Provider;56aa371be4b08b9a8d573520;YES;Tourism;;;;;;;;;;;;;
Water Park;4bf58dd8d48988d193941735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
Zoo;4bf58dd8d48988d17b941735;YES;Entertainment,Tourism;Family,Friends;;;;;;;;;;;;
