ID;INT;ACT;SOC;SKL;REL;POL;ADD;HEA;OWN;ETH;GEN;AGE;STA;FAM;TRA
<http://www.w3.org/2002/07/owl#Thing>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Settlement>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Village>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Building>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Town>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Station>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/School>;YES;Education;Friends,Colleagues;;;;;;;;;;;;
<http://dbpedia.org/ontology/City>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/River>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/HistoricPlace>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Mountain>;YES;Sports,Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/RadioStation>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/AdministrativeRegion>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Airport>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/University>;YES;Education,Tourism;Friends,Colleagues;;;;;;;;;;;;
<http://dbpedia.org/ontology/Lake>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/ProtectedArea>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/HistoricBuilding>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Place>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Island>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Stadium>;YES;Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/MilitaryConflict>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Museum>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Venue>;YES;Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Ship>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/MilitaryStructure>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Dam>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Bridge>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/ReligiousBuilding>;YES;Tourism;Family,Friends;;YES;;;;;;;;;;
<http://dbpedia.org/ontology/Park>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/TelevisionStation>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Road>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Company>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/ShoppingMall>;YES;Shopping;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Hospital>;;;;;;;;YES;;;;;;;
<http://dbpedia.org/ontology/PowerStation>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Diocese>;YES;;;;YES;;;;;;;;;;
<http://dbpedia.org/ontology/Organisation>;;;;;;YES;;;;;;;;;
<http://dbpedia.org/ontology/RailwayStation>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Castle>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Prison>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/BodyOfWater>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/SoccerClub>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Country>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Hotel>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Artwork>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/GovernmentAgency>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/GolfTournament>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Restaurant>;YES;Eating;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Earthquake>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Volcano>;YES;Tourism,Sports;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Person>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Library>;YES;Education;;;;;;;;;;;;;
<http://dbpedia.org/ontology/RollerCoaster>;YES;Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Theatre>;YES;Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/WorldHeritageSite>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/SkiArea>;YES;Sports;;;;;;;;;;;;;
<http://dbpedia.org/ontology/MilitaryUnit>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Monument>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/MountainPass>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/RailwayLine>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/SiteOfSpecialScientificInterest>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Convention>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/MilitaryPerson>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Legislature>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/ArchitecturalStructure>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/RoadTunnel>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/AmusementParkAttraction>;YES;Entertainment;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Canal>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Garden>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Glacier>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/GolfCourse>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/MountainRange>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Racecourse>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/CricketGround>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/GrandPrix>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Winery>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Lighthouse>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Non-ProfitOrganisation>;;;;;;YES;;;;;;;;;
<http://dbpedia.org/ontology/PublicTransitSystem>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Cave>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/EthnicGroup>;YES;;;;;;;;;YES;;;;;
<http://dbpedia.org/ontology/RoadJunction>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/RailwayTunnel>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/OfficeHolder>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/ArtificialSatellite>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Brewery>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Valley>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/WineRegion>;YES;Tourism;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/EducationalInstitution>;YES;Education,Tourism;Colleagues,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Bank>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Newspaper>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Mollusca>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/TelevisionShow>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/LaunchPad>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Tunnel>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/ConcentrationCamp>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/WomensTennisAssociationTournament>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/BusCompany>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Artist>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Sea>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Criminal>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/BroadcastNetwork>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Scientist>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Mammal>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Crater>;YES;Tourism,Sports;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Film>;YES;Entertainment;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Stream>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/RugbyClub>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/MusicFestival>;YES;Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/College>;YES;Education;Colleagues,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/WaterRide>;YES;Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Crustacean>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/OlympicEvent>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/SportsTeam>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
