ID;INT;ACT;SOC;SKL;REL;POL;ADD;HEA;OWN;ETH;GEN;AGE;STA;FAM;TRA
56aa371be4b08b9a8d5734db;YES;Entertainment;Family,Friends;;;;;;;;;;;;
4fceea171983d5d06c3e9823;YES;Entertainment,Tourism;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d1e1931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d1e2931735;YES;Entertainment,Tourism;;;;;;;;;;;;;
4bf58dd8d48988d1e4931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d17c941735;YES;Entertainment,Tourism;Family,Friends,Colleagues;;;;;;;;;;;;
52e81612bcbc57f1066b79e7;YES;Entertainment;;;;;;;;;;;;;
4bf58dd8d48988d18e941735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
5032792091d4c4b30a586d5c;YES;Entertainment;Family,Friends;;;;;;;;;;;;
52e81612bcbc57f1066b79ef;YES;Entertainment;Family,Friends;;;;;;;;;;;;
52e81612bcbc57f1066b79e8;YES;Entertainment;Family,Friends;;;;;;;;;;;;
56aa371be4b08b9a8d573532;YES;Entertainment;;;;;;;;;;;;;
4bf58dd8d48988d1f1931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
52e81612bcbc57f1066b79ea;YES;Entertainment;Family,Friends;Drive;;;;;;;;;;;
4deefb944765f83613cdba6e;YES;Entertainment,Tourism;;;;;;;;;;;;;
5744ccdfe4b0c0459246b4bb;YES;Entertainment;Family,Friends;;;;;;;;;;;;
52e81612bcbc57f1066b79e6;YES;Entertainment;Family,Friends;;;;;;;;;;;;
5642206c498e4bfca532186c;YES;Entertainment,Tourism;;;;;;;;;;;;;
52e81612bcbc57f1066b79eb;YES;Entertainment;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d17f941735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
56aa371be4b08b9a8d5734de;YES;Entertainment;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d17e941735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d180941735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d181941735;YES;Entertainment,Tourism;;;;;;;;;;;;;
4bf58dd8d48988d18f941735;YES;Entertainment,Tourism;;;;;;;;;;;;;
559acbe0498e472f1a53fa23;YES;Entertainment,Tourism;;;;;;;;;;;;;
4bf58dd8d48988d190941735;YES;Entertainment,Tourism;;;;;;;;;;;;;
4bf58dd8d48988d192941735;YES;Entertainment,Tourism;;;;;;;;;;;;;
4bf58dd8d48988d191941735;YES;Entertainment,Tourism;;;;;;;;;;;;;
4bf58dd8d48988d1e5931735;YES;Entertainment,Tourism;;;;;;;;;;;;;
4bf58dd8d48988d1e7931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d1e8931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d1e9931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
5744ccdfe4b0c0459246b4b8;YES;Entertainment;;;;;;;;;;;;;
4bf58dd8d48988d1f2931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d134941735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d135941735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d136941735;YES;Entertainment,Tourism;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d137941735;YES;Entertainment,Tourism;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d1e3931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
507c8c4091d498d9fc8c67a9;YES;Entertainment,Tourism;;;;;;;;;;;;;
52e81612bcbc57f1066b79ed;YES;Entertainment,Tourism;;;;;;;;;;;;;
52e81612bcbc57f1066b79ee;YES;Entertainment,Tourism;;;;;;;;;;;;;
56aa371be4b08b9a8d573514;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d1f4931735;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
52e81612bcbc57f1066b79e9;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
52e81612bcbc57f1066b79ec;YES;Entertainment,Sports;Family,Friends;Dance;;;;;;;;;;;
56aa371be4b08b9a8d5734f9;YES;Entertainment,Sports;Family,Friends;Dance;;;;;;;;;;;
4bf58dd8d48988d184941735;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d18c941735;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d18b941735;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d18a941735;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d189941735;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d185941735;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
56aa371be4b08b9a8d573556;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
4bf58dd8d48988d188941735;YES;Entertainment,Sports;Family,Friends;;;;;;;;;;;;
