EMOJI;ICON;ID;INT;ACT;SOC;SKL;REL;POL;ADD;HEA;OWN;ETH;GEN;AGE;STA;FAM;TRA
🍽️;food;4d4b7105d754a06374d81259;YES;Eating out;Family,Friends,Colleagues;;;;;;;;;;;;
🎭;masks;4d4b7105d754a06373d81259;YES;Entertainment;Family,Friends,Colleagues;;;;;;;;;;;;
🏢;building;4e67e38e036454776db1fb3a;;Accomodation;Family,Friends,Colleagues;;;;;;;;;;;;
🎭;masks;56aa371be4b08b9a8d5734db;YES;Entertainment;Family,Friends;;;;;;;;;;;;
🦈;masks;4fceea171983d5d06c3e9823;YES;Entertainment,Tourism;Family,Friends;;;;;;;;;;;;
🕹️;masks;4bf58dd8d48988d1e1931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
🖼️;masks;4bf58dd8d48988d1e2931735;YES;Entertainment,Tourism;;;;;;;;;;;;;
🎳;masks;4bf58dd8d48988d1e4931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
🎰;masks;4bf58dd8d48988d17c941735;YES;Entertainment,Tourism;Family,Friends,Colleagues;;;;;;;;;;;;
🎪;masks;52e81612bcbc57f1066b79e7;YES;Entertainment;;;;;;;;;;;;;
🎤;masks;4bf58dd8d48988d18e941735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
🎫;masks;5032792091d4c4b30a586d5c;YES;Entertainment;Family,Friends;;;;;;;;;;;;
🤠;masks;52e81612bcbc57f1066b79ef;YES;Entertainment;Family,Friends;;;;;;;;;;;;
🏅;masks;52e81612bcbc57f1066b79e8;YES;Entertainment;Family,Friends;;;;;;;;;;;;
🖼️;masks;56aa371be4b08b9a8d573532;YES;Entertainment;;;;;;;;;;;;;
🍿;masks;4bf58dd8d48988d1f1931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
🏎️;masks;52e81612bcbc57f1066b79ea;YES;Entertainment;Family,Friends;Driving;;;;;;;;;;;
🏺;masks;4deefb944765f83613cdba6e;YES;Entertainment,Tourism;;;;;;;;;;;;;
🎤;masks;5744ccdfe4b0c0459246b4bb;YES;Entertainment;Family,Friends;;;;;;;;;;;;
🔫;masks;52e81612bcbc57f1066b79e6;YES;Entertainment;Family,Friends;;;;;;;;;;;;
🎖️;masks;5642206c498e4bfca532186c;YES;Entertainment,Tourism;;;;;;;;;;;;;
⛳;masks;52e81612bcbc57f1066b79eb;YES;Entertainment;Family,Friends;;;;;;;;;;;;
🍿;popcorn;4bf58dd8d48988d17f941735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
🍿;popcorn;56aa371be4b08b9a8d5734de;YES;Entertainment;Family,Friends;Driving;;;;;;;;;;;
🍿;popcorn;4bf58dd8d48988d17e941735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
🍿;popcorn;4bf58dd8d48988d180941735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
🖼️;image;4bf58dd8d48988d181941735;YES;Entertainment,Tourism;;;;;;;;;;;;;
🖼️;image;4bf58dd8d48988d18f941735;YES;Entertainment,Tourism;;;;;;;;;;;;;
🖼️;image;559acbe0498e472f1a53fa23;YES;Entertainment,Tourism;;;;;;;;;;;;;
🖼️;image;4bf58dd8d48988d190941735;YES;Entertainment,Tourism;;;;;;;;;;;;;
🌕;image;4bf58dd8d48988d192941735;YES;Entertainment,Tourism;;;;;;;;;;;;;
🔬;flask;4bf58dd8d48988d191941735;YES;Entertainment,Tourism;;;;;;;;;;;;;
🎤;masks;4bf58dd8d48988d1e5931735;YES;Entertainment,Tourism;;;;;;;;;;;;;
🎷;masks;4bf58dd8d48988d1e7931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
🎹;masks;4bf58dd8d48988d1e8931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
🤘;masks;4bf58dd8d48988d1e9931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
🎭;masks;5744ccdfe4b0c0459246b4b8;YES;Entertainment;;;;;;;;;;;;;
🎭;masks;4bf58dd8d48988d1f2931735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
🎭;masks;4bf58dd8d48988d134941735;YES;Entertainment;Family,Friends;;;;;;;;;;;;
